name,native,status,population,
Alexandrovsk-Sakhalinsky, Александровск-Сахалинский, City, 8854
Aniva, Анива, City, 9638
Kholmsk, Холмск, City, 25677
Dolinsk, Долинск, City, 11740
Yuzhno-Kurilsk, Южно-Курильск, Urban Settlement, 6991
Yuzhno-Sakhalinsk, Южно-Сахалинск, City, 181587
Korsakov, Корсаков, City, 33950
Kurilsk, Курильск, City, 2530
Makarov, Макаров, City, 5848
Nevelsk, Невельск, City, 10608
Nogliki, Ноглики, Urban Settlement, 11066
Okha, Оха, City, 20357
Poronaysk, Поронайск, City, 16026
Shakhtyorsk, Шахтёрск, Urban Settlement, 6687
Severo-Kurilsk, Северо-Курильск, City, 2374
Smirnykh, Смирных, Urban Settlement, 8050
Tomari, Томари, City, 4313
Tymovskoye, Тымовское, Urban Settlement, 8629
Uglegorsk, Углегорск, City, 8041
Vakhrushev,Вахрушев, Urban Settlement, 1515
 
